Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 362904 347399 330217 546762 555058
1 341251 333956 304935 468637 478625
1.5 323822 310857 283290 429321 436564
2 317475 306492 282908 405717 396409
2.5 316289 298033 279014 378846 388564
4 287410 286552 276260 334943 339259
6 266547 275421 265617 305484 314823
8 255195 260651 265482 291618 283849
10 251255 246793 262646 279911 273873
12 241578 244874 256547 265473 266137
14 233962 243539 252222 254210 257664
20 225874 237419 250287 230925 236463
