Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 188912 178036 173902 251033 256341
1 171160 169522 169043 215105 210255
1.5 165640 163335 157971 192650 197563
2 161788 160215 156436 183422 188807
2.5 156813 159025 155990 173134 178696
4 145708 147381 154215 158368 154181
6 139598 138354 153845 146783 140243
8 136287 136531 153680 135382 141108
10 128682 133714 153148 124563 134831
12 127601 133432 149765 123750 126981
14 124054 133207 146847 122783 120550
20 118867 128901 145425 116373 117283
