Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 185683 185621 184585 244354 255181
1 174107 168518 168230 209193 216171
1.5 162150 164418 161808 186867 195815
2 158614 162494 157137 182675 181907
2.5 156477 155262 156867 170723 172986
4 148716 146536 156192 155449 149901
6 140716 146536 156192 155449 149901
8 133228 133152 155420 130962 134924
10 126186 132937 154105 124402 131158
12 124186 130937 152105 123402 120158
14 121226 129003 151480 122531 115368
20 120272 119901 150627 114527 111954
