Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 542644 510815 475320 903444 925766
1 507268 476485 435808 793464 814920
1.5 483523 461630 414488 721516 742723
2 462485 451067 399280 681666 689030
2.5 459180 443382 390484 648387 659463
4 434113 414386 374304 587466 589638
6 404113 404386 374004 547466 549638
8 388375 397219 364073 497062 492690
10 379487 379031 347279 466071 468493
12 372487 373031 345279 446071 448493
14 361785 342726 343737 431415 415883
20 350527 341865 339475 391556 389183
