Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 329055 324928 310442 523659 528996
1 315545 311181 282732 451755 453270
1.5 302875 283373 274875 405836 415673
2 293280 282883 258830 377111 392392
2.5 285765 280940 258508 357522 362298
4 271001 266118 250225 316514 314864
6 261001 256118 249225 296514 294864
8 246131 236094 247218 261557 270322
10 239291 231588 241427 255953 254009
12 229291 230588 240827 245953 244009
14 216630 228450 240692 233517 231616
20 200863 216618 235542 223861 220305
