Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 739401 717276 656790 1298730 1367420
1 691429 669725 607174 1194915 1208517
1.5 668341 659907 580308 1090511 1131250
2 652130 636418 549733 1030018 1055881
2.5 636213 607031 530119 985430 1009194
4 601114 579634 525624 891787 903881
6 571114 559634 505624 811787 803881
8 548833 534541 476254 760810 741703
10 528737 521806 455132 713796 722470
12 518737 511806 450132 683796 702470
14 501756 503267 449673 642687 641024
20 481168 473334 441637 594916 597378
