Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 18667 18723 18297 19306 18468
1 19307 19530 18798 19831 19787
1.5 19349 19865 19467 20450 20107
2 19830 20052 19747 20513 20430
2.5 19971 20263 20032 20705 20577
5 20064 20431 20288 20883 20821
7.5 20332 20499 20486 21041 20835
10 20460 20649 20561 21057 20855
12.5 20485 20721 20638 21057 20919
15 20568 20867 20649 21079 20940
17.5 20631 20867 20661 21079 20990
20 20714 20901 20721 21079 20990
22.5 20714 20901 20721 21079 21031
25 20721 20901 20721 21079 21033
27.5 20721 20940 20721 21111 21033
30 20721 20960 20721 21124 21038
32.5 20721 20970 20721 21124 21057
35 20721 20990 20721 21124 21057
37.5 20721 20990 20721 21124 21057
40 20769 20990 20758 21124 21057
42.5 20785 20990 20804 21124 21057
45 20804 21039 20837 21124 21057
47.5 20837 21041 20867 21124 21124
50 20867 21041 20990 21124 21124
75 20920 21057 21041 21124 21124
100 20920 21057 21041 21124 21124
