Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 184692 184663 182438 181174 172950
1 189395 193973 190867 190505 183760
1.5 197831 197332 196467 196430 196624
2 198506 206286 202972 201508 198027
2.5 204758 213745 210613 206624 205632
5 221288 228256 224181 227772 221749
7.5 232933 239911 236492 234416 231997
10 239192 240372 239729 242700 239513
12.5 241104 243670 244103 243693 241804
15 244625 245088 246606 247672 243716
17.5 247233 249326 248181 248656 245457
20 249467 251010 249438 251795 247720
22.5 249540 251018 250399 252175 249774
25 251495 251174 251573 252670 250336
27.5 251748 252194 251809 253246 251368
30 252457 253103 251940 253292 251995
32.5 253073 253745 252496 253861 252077
35 253985 253769 253246 254014 252689
37.5 254257 253786 253786 254735 253124
40 254341 254545 254117 254975 253428
42.5 254753 254722 254480 255296 253612
45 254887 254819 255094 256115 254155
47.5 255181 255186 255187 256258 254453
50 255245 255834 255271 256547 254589
75 256722 256906 256750 256964 256306
100 257768 257664 257510 257815 256864
