Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 84536 85001 85318 86604 83063
1 89616 87230 88137 93162 91158
1.5 90615 90357 90791 96739 99136
2 93090 91118 91292 102404 99470
2.5 95317 93667 92580 106237 103751
5 101321 101754 99413 111104 108737
7.5 104416 102939 102704 114718 111058
10 108384 108405 105004 116328 114170
12.5 110114 108781 108322 117585 114920
15 111596 109101 108604 117595 116226
17.5 111926 109631 110111 117768 116467
20 113478 112037 110798 117842 116672
22.5 113691 112253 111170 118044 116766
25 113955 112956 111865 118499 116796
27.5 114707 113045 113050 118616 117283
30 114896 113419 113352 118620 117460
32.5 115119 113430 113431 118740 117503
35 115514 113868 113446 118822 117714
37.5 115564 113957 113471 118959 117784
40 116146 114357 113478 118966 117818
42.5 116284 114594 114314 118985 117961
45 116382 114811 114576 119005 118103
47.5 116485 115152 115216 119225 118222
50 116640 115355 115849 119237 118342
75 117593 116248 116301 119391 118786
100 118305 116575 116821 119556 119046
