Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 14790 14192 14743 15405 15317
1 14939 15401 15207 16194 15729
1.5 15818 15702 15702 16373 16206
2 16015 15836 16008 16386 16226
2.5 16080 16392 16031 16667 16349
5 16184 16444 16159 16715 16651
7.5 16242 16470 16353 16730 16776
10 16385 16498 16368 16820 16776
12.5 16441 16547 16538 16837 16803
15 16448 16596 16539 16847 16803
17.5 16474 16627 16562 16847 16803
20 16476 16659 16562 16847 16803
22.5 16562 16696 16562 16847 16804
25 16578 16709 16562 16847 16826
27.5 16580 16733 16562 16866 16847
30 16588 16776 16578 16866 16847
32.5 16588 16782 16586 16877 16847
35 16608 16803 16586 16877 16847
37.5 16650 16803 16587 16877 16847
40 16651 16803 16598 16886 16847
42.5 16653 16811 16608 16886 16847
45 16659 16820 16635 16886 16866
47.5 16690 16826 16643 16886 16866
50 16723 16829 16643 16886 16866
75 16747 16846 16643 16886 16866
100 16757 16847 16644 16886 16877
