Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 240155 240311 241522 239954 229582
1 243326 241977 244644 248723 238894
1.5 249813 242742 248018 254203 252777
2 249945 243623 252010 264766 259592
2.5 250281 250297 256462 270209 262065
5 265543 258639 269135 292440 291804
7.5 274949 269129 278503 306593 306993
10 284411 274617 286061 320364 315583
12.5 293051 280213 290275 327766 321965
15 295011 283111 296233 332455 324922
17.5 301363 292357 300135 335881 327535
20 306085 296142 302664 338512 331880
22.5 312842 297445 308730 341297 335720
25 316114 306324 310007 342933 337029
27.5 317592 309341 313513 344239 337188
30 317909 311468 315596 346665 339251
32.5 318538 312048 316201 346770 339903
35 323552 312291 320299 347208 341892
37.5 324410 313889 321531 348268 342909
40 326695 313904 321922 348798 343700
42.5 326966 315963 322773 349164 343843
45 328015 321061 325304 349312 345313
47.5 330085 321973 325772 349593 345628
50 330673 323127 327467 350170 347026
75 340153 331537 332958 352883 349327
100 342990 337624 336132 353949 351077
