Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 271541 272476 270271 275316 258341
1 279673 276386 277630 281294 268579
1.5 282622 291014 284961 282040 276812
2 291800 296426 290470 288357 284951
2.5 292166 302317 297205 295311 288702
5 313673 328613 325506 319959 317280
7.5 328453 341115 334893 334934 335705
10 340584 350644 346354 346406 345199
12.5 349084 356444 353600 352627 350937
15 355329 360859 358863 360388 356866
17.5 359447 363795 360828 363278 358646
20 362592 367746 364053 368299 362366
22.5 364610 368563 367786 368756 365026
25 367280 369080 370011 370175 367557
27.5 369262 371108 371148 373008 368497
30 370701 372739 371481 373825 369615
32.5 372523 373403 373569 374571 370252
35 372604 374452 374412 376647 373106
37.5 372865 375676 374557 376950 373394
40 374474 376233 374575 377124 374157
42.5 374829 377158 374914 377529 374916
45 376343 377594 376982 379217 375266
47.5 376901 378346 377363 379221 375599
50 376905 379047 377949 379336 376024
75 380639 382082 380600 382064 380470
100 382764 382344 382398 383209 381496
