Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 165837 167099 167867 173321 163252
1 170206 171570 171806 175729 173358
1.5 173902 172431 173642 179773 180070
2 175269 173559 173725 189944 188201
2.5 176042 179770 180309 193647 192281
5 191437 186106 193171 210433 211215
7.5 197598 192476 198526 220828 216443
10 203498 193699 201208 226908 221692
12.5 210806 206324 205822 231006 226740
15 212762 208262 212746 232805 227282
17.5 214385 212455 213062 233867 230581
20 219389 212990 214953 235552 230997
22.5 222152 215717 215753 235892 231687
25 222815 219904 218902 236111 233860
27.5 223868 219989 220334 237608 234157
30 226799 221351 220976 237828 234233
32.5 227469 223342 221412 238429 234837
35 227879 224195 221671 238653 236154
37.5 227939 224494 221713 239016 236307
40 228093 224887 223441 239144 236650
42.5 230384 225566 225075 239282 237228
45 231118 225872 226561 239539 237351
47.5 231299 225885 226804 240045 237785
50 231964 226449 228340 240302 237868
75 234882 232485 231351 241587 239833
100 236233 233228 233929 241689 240393
