Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 96041 101144 98514 96631 93693
1 101074 104585 105001 104588 102053
1.5 107376 108110 108269 107422 105900
2 108459 111123 109892 112519 108435
2.5 112964 116066 115006 114148 111950
5 118665 120989 120421 121635 121166
7.5 122468 123865 124011 123734 123007
10 125359 125268 125752 125362 123452
12.5 125541 125462 126128 126409 124957
15 126652 126652 126179 127359 125593
17.5 126960 126685 127173 127369 126475
20 127248 126754 127336 127527 127212
22.5 127454 127349 127765 127863 127315
25 127697 128210 127770 128150 127859
27.5 127792 128416 127854 128689 127878
30 128349 128535 127977 128766 128034
32.5 128387 128565 128102 128769 128171
35 128419 128581 128350 128843 128186
37.5 128611 128719 128474 128877 128191
40 128685 128733 128554 128946 128387
42.5 128751 128764 128727 128950 128553
45 129137 128814 128765 128974 128603
47.5 129198 128868 128899 129035 128772
50 129211 128912 128907 129143 128793
75 129524 129361 129306 129328 129256
100 129524 129493 129484 129479 129293
