Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 179439 179372 179747 179430 178166
1 180146 180000 179855 179700 178333
1.5 180574 180063 180024 179717 178375
2 181024 180255 180750 180336 178773
2.5 181072 181158 181042 180468 178955
5 182112 182369 182100 181570 179575
7.5 183170 182646 183369 182170 179874
10 183969 183317 183560 182875 180270
12.5 184670 184478 184170 183466 180476
15 184852 184842 184660 183768 180675
17.5 185669 185074 184668 183974 181368
20 185767 185237 185275 184475 181555
22.5 185774 185966 185276 184580 181772
25 185960 185974 185448 184676 181865
27.5 186173 186155 185573 185005 181866
30 186174 186268 185713 185275 181976
32.5 186374 186463 185776 185448 182076
35 186564 186609 185870 185676 182574
37.5 186576 186637 185905 185876 182775
40 186772 186668 186168 185985 183062
42.5 186864 186671 186222 186368 183176
45 186868 186675 186271 186373 183276
47.5 186948 186750 186273 186376 183376
50 186974 186775 186454 186376 183565
75 187125 187375 186972 186575 184474
100 187754 187776 187265 187376 184875
