Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 96328 101153 97852 97271 93718
1 100494 104506 104776 103694 99959
1.5 107408 108018 108611 106801 108225
2 108214 111308 110515 109845 110023
2.5 113133 116466 114799 113001 111878
5 119198 121709 120388 120442 120898
7.5 122930 124913 124019 125027 123143
10 125842 125590 126147 126640 124695
12.5 125953 125929 126646 126937 126335
15 127270 127256 126959 127641 126551
17.5 127334 127406 127632 127706 127375
20 127665 127698 127695 128478 127670
22.5 127714 128030 128247 128541 127934
25 128151 128805 128324 128792 128377
27.5 128423 128815 128340 129185 128441
30 129032 129137 128696 129266 128701
32.5 129073 129140 128753 129270 128888
35 129080 129151 128912 129510 128889
37.5 129146 129174 129008 129600 128962
40 129316 129241 129024 129652 129037
42.5 129366 129392 129513 129715 129083
45 129825 129556 129600 129752 129192
47.5 129858 129574 129635 129929 129197
50 129948 129619 129643 129980 129272
75 130046 129974 129897 130007 129677
100 130215 130226 130093 130118 130101
