Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 16600 16527 16727 16024 16527
1 17241 17170 16880 17509 17509
1.5 17304 17173 17081 18063 17636
2 17321 17264 17212 18120 17771
2.5 17347 17325 17362 18325 17932
5 17991 17939 17806 18563 18202
7.5 17993 18177 17902 18648 18462
10 18025 18361 18055 18648 18462
12.5 18026 18372 18099 18750 18497
15 18040 18377 18158 18799 18517
17.5 18050 18426 18210 18799 18517
20 18060 18426 18236 18799 18524
22.5 18113 18433 18250 18799 18524
25 18133 18451 18275 18799 18525
27.5 18243 18451 18324 18799 18525
30 18248 18462 18339 18799 18531
32.5 18293 18468 18359 18799 18583
35 18293 18497 18359 18799 18648
37.5 18293 18497 18359 18799 18688
40 18315 18516 18377 18799 18799
42.5 18318 18524 18377 18799 18799
45 18363 18524 18433 18799 18799
47.5 18372 18593 18451 18799 18799
50 18374 18676 18451 18799 18799
75 18426 18750 18491 18799 18799
100 18433 18750 18491 18799 18799
