Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 16912 16559 16723 17545 16816
1 17828 18086 17770 18378 17976
1.5 18157 18172 17887 19088 18370
2 18306 18359 18327 19157 18806
2.5 18969 18511 18549 19427 19051
5 18995 19159 18595 19627 19111
7.5 19004 19195 19009 19638 19365
10 19174 19236 19019 19643 19450
12.5 19250 19262 19039 19652 19608
15 19250 19262 19250 19652 19643
17.5 19250 19262 19250 19657 19643
20 19254 19263 19250 19657 19643
22.5 19262 19335 19250 19657 19643
25 19262 19389 19262 19657 19643
27.5 19262 19405 19262 19657 19643
30 19262 19421 19266 19657 19643
32.5 19262 19480 19322 19657 19652
35 19262 19493 19335 19657 19652
37.5 19338 19493 19435 19730 19657
40 19419 19613 19463 19730 19657
42.5 19421 19613 19463 19730 19657
45 19435 19643 19463 19730 19657
47.5 19463 19643 19463 19730 19657
50 19463 19657 19507 19730 19657
75 19493 19657 19597 19730 19657
100 19597 19657 19657 19730 19657
