Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 19566 20272 19463 21141 20553
1 20794 20715 20268 22365 21640
1.5 21080 20796 21163 22416 22141
2 21170 21770 21528 22477 22264
2.5 21222 21959 21688 22749 22381
5 21678 22404 21894 22855 22818
7.5 22067 22459 22012 22857 22844
10 22129 22520 22066 22864 22845
12.5 22233 22635 22141 22891 22851
15 22348 22640 22269 22903 22851
17.5 22366 22732 22413 22903 22862
20 22425 22749 22457 22913 22891
22.5 22457 22778 22491 22917 22891
25 22486 22795 22518 22917 22891
27.5 22488 22824 22540 22917 22891
30 22507 22835 22609 22934 22891
32.5 22583 22855 22627 22934 22891
35 22597 22858 22633 22998 22903
37.5 22656 22858 22703 22998 22903
40 22656 22864 22703 22998 22903
42.5 22692 22864 22703 22998 22917
45 22703 22864 22703 22998 22917
47.5 22703 22917 22703 22998 22917
50 22703 22998 22708 22998 22917
75 22703 22998 22740 22998 22998
100 22780 22998 22749 22998 22998
