Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 184048 184436 182110 182368 175618
1 190379 192974 190722 188195 180347
1.5 197895 197200 196143 197806 193861
2 198079 205257 201997 201301 199840
2.5 204631 212726 210120 206866 208803
5 220949 228739 223443 226031 224842
7.5 232720 240032 236971 236434 234341
10 240381 240669 240173 241951 235250
12.5 240588 243468 244611 245390 240620
15 244673 245181 246701 247734 244543
17.5 247251 249396 248515 249907 247232
20 250014 251032 249963 251513 247695
22.5 250295 251038 250168 252760 249586
25 252219 251548 251537 253661 249976
27.5 252397 253125 252139 254763 251058
30 252424 253572 252585 255212 252000
32.5 254066 253987 253050 255301 252759
35 254092 254046 253793 255995 252814
37.5 254608 254063 254031 256074 253466
40 254755 254667 254863 256460 253980
42.5 255447 255374 254882 256486 254274
45 255915 255494 255325 256852 254361
47.5 255966 255863 255615 256982 255072
50 256163 256509 255771 257051 255928
75 257403 256869 257221 257720 256364
100 258430 258518 258074 258667 257523
