Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 270837 270685 270845 270450 269254
1 271252 271313 271672 270836 269455
1.5 271448 271326 272036 270927 269455
2 272080 271654 272328 271442 269650
2.5 272918 272494 272845 271880 269956
5 273933 273156 274643 272451 270743
7.5 275553 275530 275447 273949 270903
10 276351 276012 276212 274413 271216
12.5 276904 276414 276530 275242 271556
15 277702 276544 276889 275955 272450
17.5 278324 277354 277845 276332 272644
20 278730 278351 278622 277413 273251
22.5 279640 278623 278645 277548 273322
25 279956 279148 279191 278263 273656
27.5 280206 279352 279437 278541 273746
30 280250 279652 279639 278947 274146
32.5 280521 280252 280024 279054 274256
35 280854 280437 280150 279333 274846
37.5 280858 280489 280315 279643 274849
40 280955 280508 280354 279654 274953
42.5 281033 280852 280438 280056 274954
45 281155 280956 280498 280156 275050
47.5 281253 281018 280795 280300 275056
50 281751 281532 281452 280347 275356
75 282439 282091 281551 281598 276853
100 282946 282954 282249 282555 278253
