Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 332950 315397 301990 517168 536815
1 317938 305584 277538 440493 447856
1.5 304855 288901 269479 404579 404622
2 288663 284722 265461 365956 370308
2.5 282138 276128 254084 357143 355683
4 268543 264689 245543 316096 307569
6 258543 254689 244043 296096 287569
8 243847 246411 243622 269886 269337
10 225788 231662 242175 252543 257473
12 223788 229662 240175 242543 247473
14 220544 227588 239177 231350 232866
20 203006 211150 232330 215770 214312
