Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 349358 333191 322308 522979 568459
1 324743 306956 285615 466845 471836
1.5 307524 294075 269100 424461 430054
2 292133 292644 266000 397208 399431
2.5 286434 286200 258462 379089 373224
4 280434 264787 251829 329515 332588
6 270434 254787 251029 309515 312588
8 253797 247862 250884 282091 285641
10 253066 247820 240345 268360 272451
12 252766 237820 239345 258360 262451
14 228846 228067 238994 244780 248472
20 224707 222523 238507 224571 233608
