Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 52137 58137 57408 50212 49581
1 46703 50143 57078 44895 46035
1.5 45661 49941 56580 43629 44061
2 45003 47598 55968 43061 42134
2.5 43251 46378 54655 42982 41852
4 42607 43512 54115 42882 41716
6 42507 43512 54100 42482 41016
8 42396 41254 54094 40589 40644
10 38429 39843 53409 39920 40215
12 38429 39843 53409 39920 40215
14 37753 38047 51230 38817 39454
20 37532 36519 51122 36833 37332
