Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 364096 354065 329696 529557 540825
1 331367 320473 306186 465623 463158
1.5 317372 316689 291397 431499 427934
2 308157 305460 287746 395809 399600
2.5 305423 304012 280385 375562 374431
4 288903 284717 260413 331407 332361
6 268903 264717 260124 327407 302361
8 253046 258266 259864 282885 274820
10 247241 253210 259123 265823 269654
12 245241 243210 255123 255823 259654
14 233812 233287 251179 247047 243245
20 222433 224512 247801 236428 231187
