Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 750607 703803 651735 1276340 1352066
1 681013 659409 581493 1171263 1195509
1.5 662567 625792 568180 1081366 1109759
2 651379 616504 537961 1011707 1040451
2.5 624560 603932 529164 988218 991519
4 597315 570115 489391 885096 890662
6 577315 570115 479391 795096 830662
8 542202 526395 466017 739927 751599
10 532488 524145 458634 708322 727362
12 522488 521145 448634 698322 707362
14 508719 497553 438401 637748 641161
20 461376 463036 435416 592999 591929
