Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 201847 200904 196704 258403 263671
1 186094 179770 183039 220502 222134
1.5 173952 169848 176105 203042 203048
2 172081 168075 171409 187744 185965
2.5 163517 167473 166600 177348 175046
4 156441 157015 166542 161307 162935
6 150441 150015 165538 151307 152935
8 143883 143707 165042 142236 144040
10 135430 142736 163525 130563 130353
12 130430 137736 163025 128563 125353
14 128360 130477 162442 121353 121689
20 124601 130455 156322 117830 116302
