Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 184398 187090 172991 245363 254715
1 172667 166999 166003 214962 219686
1.5 170378 160010 162236 185714 191414
2 158071 154579 161389 178737 183753
2.5 155403 154279 156644 176167 173511
4 148643 152541 154842 153153 152915
6 140643 144541 151842 140153 132915
8 136364 133649 149725 132542 129632
10 130908 129799 144851 123182 125211
12 129908 129199 144251 120182 120211
14 123559 128658 143475 119126 117645
20 121270 126613 143342 113732 110822
