Evaluations NSGAII MOEAD SMSEMOA GA ES
0.5 531597 507835 479328 907034 927515
1 503140 476958 430558 773085 812255
1.5 478358 462607 415317 718870 728158
2 476944 439142 392141 675833 684098
2.5 450870 432430 387223 638177 663647
4 419644 407799 365231 567480 583627
6 409644 397799 362231 527480 543627
8 391547 373194 350954 485246 494838
10 382759 368380 342701 461228 462432
12 372759 358380 342601 441228 432432
14 360344 354098 342509 422619 415619
20 331714 337830 337239 392845 381107
